season,game_date,home_team,away_team,home_score,away_score,home_win,label,neutral,elo_diff,win_pct_diff,log5_prob,pythagorean_diff,is_home
2021,2021-09-10,MIN,IND,89,72,1,1,0,174.72615445268048,0.0,0.5,0.0,1.0
2021,2021-09-11,DAL,NY,77,76,1,1,0,15.178418873013925,0.0,0.5,0.0,1.0
2021,2021-09-11,PHX,CONN,67,76,0,0,0,-52.658479016472256,0.0,0.5,0.0,1.0
2021,2021-09-12,CHI,WSH,71,79,0,0,0,80.02728925398105,0.0,0.5,0.0,1.0
2021,2021-09-12,MIN,IND,90,80,1,1,0,182.95317460569004,0.0,0.5,0.0,1.0
2021,2021-09-12,LA,SEA,81,53,1,1,0,-135.3905386631152,0.0,0.5,0.0,1.0
2021,2021-09-13,LV,DAL,85,75,1,1,0,132.55107012504936,0.0,0.5,0.0,1.0
2021,2021-09-14,ATL,IND,85,78,1,1,0,-4.656869005420731,0.0,0.5,0.0,1.0
2021,2021-09-15,CONN,NY,98,69,1,1,0,200.4604315740189,0.0,0.5,0.0,1.0
2021,2021-09-16,ATL,LA,68,74,0,0,0,-39.92125179997265,0.0,0.5,0.0,1.0
2021,2021-09-17,IND,MIN,73,92,0,0,0,-199.2954548937255,0.0,0.5,0.0,1.0
2021,2021-09-17,NY,WSH,91,80,1,1,0,-31.46445406532689,0.0,0.5,0.0,1.0
2021,2021-09-17,CHI,LV,70,103,0,0,0,-88.24105885646327,0.0,0.5,0.0,1.0
2021,2021-09-17,SEA,PHX,94,85,1,1,0,-8.45909814249194,0.0,0.5,0.0,1.0
2021,2021-09-19,CONN,ATL,84,64,1,1,0,246.80672099942626,0.0,0.5,0.0,1.0
2021,2021-09-19,PHX,LV,83,84,0,0,0,-58.76836750899679,0.0,0.5,0.0,1.0
2021,2021-09-19,WSH,MIN,77,83,0,0,0,-142.55212268574314,0.0,0.5,0.0,1.0
2021,2021-09-19,DAL,LA,87,84,1,1,0,7.57375308821338,0.0,0.5,0.0,1.0
2021,2021-09-19,CHI,IND,98,87,1,1,0,121.49661936846383,0.0,0.5,0.0,1.0
2021,2021-09-23,CHI,DAL,81,64,1,1,0,42.17309433164837,0.0,0.5,0.0,1.0
2021,2021-09-23,PHX,NY,83,82,1,1,0,103.28661811129064,0.0,0.5,0.0,1.0
2021,2021-09-26,SEA,PHX,80,85,0,0,0,13.012797012906503,0.0,0.5,0.0,1.0
2021,2021-09-26,MIN,CHI,76,89,0,0,0,85.50598205685833,0.0,0.5,0.0,1.0
2021,2021-09-28,CONN,CHI,95,101,0,0,0,109.72500596107034,0.0,0.5,0.0,1.0
2021,2021-09-28,LV,PHX,96,90,1,1,0,61.149991386946795,0.0,0.5,0.0,1.0
2021,2021-09-30,CONN,CHI,79,68,1,1,0,80.66437959398786,0.0,0.5,0.0,1.0
2021,2021-09-30,LV,PHX,91,117,0,0,0,74.44558945149379,0.0,0.5,0.0,1.0
2021,2021-10-03,CHI,CONN,86,83,1,1,0,-92.9823072732504,0.0,0.5,0.0,1.0
2021,2021-10-03,PHX,LV,87,60,1,1,0,-47.07076387904067,0.0,0.5,0.0,1.0
2021,2021-10-06,CHI,CONN,79,69,1,1,0,-71.08937589829816,0.0,0.5,0.0,1.0
2021,2021-10-06,PHX,LV,76,93,0,0,0,-27.81468716667655,0.0,0.5,0.0,1.0
2021,2021-10-08,LV,PHX,84,87,0,0,0,49.66214103977268,0.0,0.5,0.0,1.0
2021,2021-10-10,PHX,CHI,77,91,0,0,0,18.362038757062464,0.0,0.5,0.0,1.0
2021,2021-10-13,PHX,CHI,91,86,1,1,0,-6.073878105262565,0.0,0.5,0.0,1.0
2021,2021-10-15,CHI,PHX,86,50,1,1,0,-10.846574662384455,0.0,0.5,0.0,1.0
2021,2021-10-17,CHI,PHX,80,74,1,1,0,6.342654424158127,0.0,0.5,0.0,1.0
2022,2022-05-01,CONN,ATL,94,78,1,1,0,223.01084950376048,0.0,0.5,0.0,1.0
2022,2022-05-01,MIN,LV,89,86,1,1,0,-13.962401640585313,0.0,0.5,0.0,1.0
2022,2022-05-02,DAL,IND,101,89,1,1,0,82.59152302339294,0.0,0.5,0.0,1.0
2022,2022-05-06,WSH,IND,84,70,1,1,0,72.77721271711243,0.0,0.5,0.0,1.0
2022,2022-05-06,CHI,LA,91,98,0,0,0,137.1082690069063,0.0,0.5,0.0,1.0
2022,2022-05-06,PHX,LV,88,106,0,0,0,-35.33417528047539,0.0,0.5,0.0,1.0
2022,2022-05-06,SEA,MIN,97,74,1,1,0,-48.20012840468485,0.0,0.5,0.0,1.0
2022,2022-05-07,NY,CONN,81,79,1,1,0,-180.76170076837775,0.0,0.5,0.0,1.0
2022,2022-05-07,DAL,ATL,59,66,0,0,0,81.89885937366876,0.0,0.5,0.0,1.0
2022,2022-05-08,IND,LA,77,87,0,0,0,-93.6003128248085,0.0,0.5,0.0,1.0
2022,2022-05-08,MIN,WSH,66,78,0,0,0,136.59628302629585,0.0,0.5,0.0,1.0
2022,2022-05-08,LV,SEA,85,74,1,1,0,45.845511226930284,0.0,0.5,0.0,1.0
2022,2022-05-10,WSH,LV,89,76,1,1,0,-145.48402220226535,0.0,0.5,0.0,1.0
2022,2022-05-10,IND,MIN,82,76,1,1,0,-215.9946599226712,0.0,0.5,0.0,1.0
2022,2022-05-11,ATL,LA,77,75,1,1,0,-69.49456207221624,0.0,0.5,0.0,1.0
2022,2022-05-11,CHI,NY,83,50,1,1,0,119.021045113529,0.0,0.5,0.0,1.0
2022,2022-05-11,PHX,SEA,97,77,1,1,0,-3.861765083123828,0.0,0.5,0.0,1.0
2022,2022-05-13,WSH,DAL,86,94,0,0,0,25.722562393384578,0.0,0.5,0.0,1.0
2022,2022-05-13,ATL,LV,73,96,0,0,0,-190.26576405313153,0.0,0.5,0.0,1.0
2022,2022-05-13,NY,IND,86,92,0,0,0,70.98532248694482,0.0,0.5,0.0,1.0
2022,2022-05-14,SEA,PHX,64,69,0,0,0,-12.934490754802937,0.0,0.5,0.0,1.0
2022,2022-05-14,CONN,LA,77,60,1,1,0,143.133854397018,0.0,0.5,0.0,1.0
2022,2022-05-14,MIN,CHI,78,82,0,0,0,-12.952325599772621,0.0,0.5,0.0,1.0
2022,2022-05-15,NY,DAL,71,81,0,0,0,-37.15732772387537,0.0,0.5,0.0,1.0
2022,2022-05-15,IND,ATL,79,85,0,0,0,-18.22206409455407,0.0,0.5,0.0,1.0
2022,2022-05-17,NY,CONN,65,92,0,0,0,-188.33385994148784,0.0,0.5,0.0,1.0
2022,2022-05-17,IND,ATL,79,101,0,0,0,-40.615470898114154,0.0,0.5,0.0,1.0
2022,2022-05-17,DAL,WSH,68,84,0,0,0,9.770792198312165,0.0,0.5,0.0,1.0
2022,2022-05-17,LV,PHX,86,74,1,1,0,38.05655483864052,0.0,0.5,0.0,1.0
2022,2022-05-17,LA,MIN,84,87,0,0,0,-93.77865182206119,0.0,0.5,0.0,1.0
2022,2022-05-18,SEA,CHI,74,71,1,1,0,-50.63260530121124,0.0,0.5,0.0,1.0
2022,2022-05-19,LV,MIN,93,87,1,1,0,56.91497460681899,0.0,0.5,0.0,1.0
2022,2022-05-19,PHX,DAL,84,94,0,0,0,96.39945149043797,0.0,0.5,0.0,1.0
2022,2022-05-20,CONN,IND,94,85,1,1,0,249.6801831629259,0.0,0.5,0.0,1.0
2022,2022-05-20,ATL,WSH,73,78,0,0,0,-53.83176338318117,0.0,0.5,0.0,1.0
2022,2022-05-20,SEA,LA,83,80,1,1,0,97.55149457017433,0.0,0.5,0.0,1.0
2022,2022-05-21,LV,PHX,100,80,1,1,0,73.53389812335558,0.0,0.5,0.0,1.0
2022,2022-05-21,DAL,MIN,94,78,1,1,0,-71.06499919804992,0.0,0.5,0.0,1.0
2022,2022-05-22,IND,CONN,70,92,0,0,0,-255.4391707129189,0.0,0.5,0.0,1.0
2022,2022-05-22,WSH,CHI,73,82,0,0,0,-84.554664547617,0.0,0.5,0.0,1.0
2022,2022-05-23,LV,LA,104,76,1,1,0,187.59952092054118,0.0,0.5,0.0,1.0
2022,2022-05-24,CONN,DAL,77,85,0,0,0,131.55307665908958,0.0,0.5,0.0,1.0
2022,2022-05-24,WSH,ATL,70,50,1,1,0,64.89236404924873,0.0,0.5,0.0,1.0
2022,2022-05-24,CHI,IND,95,90,1,1,0,227.36960966570473,0.0,0.5,0.0,1.0
2022,2022-05-24,MIN,NY,84,78,1,1,0,127.92120731510454,0.0,0.5,0.0,1.0
2022,2022-05-25,LA,PHX,99,94,1,1,0,-105.27170843825729,0.0,0.5,0.0,1.0
